timestamp,temp_C,humidity_%,pressure_hPa,gas_resistance_kOhm,mq135_raw,mq135_voltage,mq135_ratio,mq3_raw,mq3_voltage,mq3_ratio,contamination_level_%,label
534131,31.13,72.86,1007.40,25.77,2527.68,2.037,0.6201,1639.66,1.321,1.4975,100,best
540000,31.14,72.86,1007.40,25.74,2514.18,2.026,0.6288,1644.74,1.325,1.4898,100,best
545869,31.15,72.81,1007.40,25.84,2526.32,2.036,0.6209,1645.82,1.326,1.4881,100,best
551738,31.16,72.80,1007.41,25.68,2524.80,2.035,0.6219,1646.28,1.327,1.4874,100,best
557607,31.17,72.78,1007.42,25.64,2500.14,2.015,0.6379,1647.34,1.328,1.4858,100,best
563476,31.18,72.75,1007.42,25.81,2498.16,2.013,0.6392,1648.20,1.328,1.4845,100,best
569345,31.19,72.74,1007.42,25.95,2493.50,2.009,0.6423,1647.94,1.328,1.4849,100,best
575214,31.19,72.72,1007.42,25.79,2488.88,2.006,0.6453,1647.62,1.328,1.4854,100,best
581083,31.20,72.69,1007.43,25.68,2482.90,2.001,0.6493,1647.14,1.327,1.4861,100,best
586952,31.21,72.66,1007.43,25.65,2478.76,1.998,0.6520,1647.66,1.328,1.4853,100,best
592821,31.22,72.66,1007.43,25.54,2476.14,1.995,0.6538,1647.94,1.328,1.4849,100,best
598690,31.23,72.63,1007.43,25.64,2468.00,1.989,0.6592,1647.92,1.328,1.4850,100,best
604559,31.24,72.62,1007.45,25.62,2458.82,1.981,0.6654,1649.16,1.329,1.4831,100,best
610428,31.25,72.61,1007.44,25.56,2484.36,2.002,0.6483,1649.66,1.329,1.4823,100,best
616297,31.26,72.58,1007.44,25.42,2446.50,1.972,0.6738,1649.32,1.329,1.4828,100,best
622166,31.27,72.57,1007.44,25.51,2447.70,1.973,0.6730,1649.48,1.329,1.4826,100,best
628035,31.28,72.54,1007.44,25.59,2448.16,1.973,0.6727,1653.04,1.332,1.4773,100,best
633904,31.29,72.53,1007.45,25.53,2446.38,1.971,0.6739,1649.36,1.329,1.4828,100,best
639773,31.29,72.49,1007.45,25.60,2453.70,1.977,0.6689,1648.42,1.328,1.4842,100,best
645642,31.30,72.50,1007.44,25.50,2442.48,1.968,0.6766,1642.98,1.324,1.4924,100,best
651511,31.31,72.49,1007.46,25.51,2413.50,1.945,0.6967,1651.32,1.331,1.4798,100,best
657380,31.32,72.46,1007.46,25.57,2428.14,1.957,0.6865,1660.78,1.338,1.4657,100,best
663249,31.33,72.45,1007.46,25.33,2439.40,1.966,0.6787,1646.38,1.327,1.4873,100,best
669118,31.34,72.44,1007.47,25.56,2417.70,1.948,0.6938,1646.30,1.327,1.4874,100,best
674987,31.35,72.42,1007.47,25.67,2421.64,1.952,0.6910,1648.28,1.328,1.4844,100,best
680856,31.36,72.42,1007.48,25.48,2390.56,1.926,0.7130,1648.74,1.329,1.4837,100,best
686725,31.37,72.39,1007.49,25.51,2406.40,1.939,0.7017,1648.82,1.329,1.4836,100,best
692594,31.38,72.39,1007.49,25.56,2401.24,1.935,0.7054,1651.72,1.331,1.4792,100,best
698463,31.38,72.35,1007.49,25.53,2403.96,1.937,0.7034,1654.90,1.334,1.4745,100,best
704332,31.39,72.36,1007.49,25.54,2389.52,1.926,0.7137,1645.44,1.326,1.4887,100,best
710201,31.40,72.34,1007.49,25.53,2391.50,1.927,0.7123,1650.52,1.330,1.4810,100,best
716070,31.41,72.32,1007.50,25.45,2373.88,1.913,0.7250,1654.80,1.334,1.4746,100,best
